date,pm25,pm10,o3,no2,so2,co
29/05/2022,52,25,45,9,0,1
30/05/2022,38,52,99,18,1,2
31/05/2022,73,35,66,14,0,2
01/06/2022,59,51,126,16,1,3
02/06/2022,78,64,145,12,3,7
03/06/2022,105,40,82,5,0,3
04/06/2022,76,29,41,6,0,2
05/06/2022,61,7,39,2,1,2
06/06/2022,17,24,54,6,0,5
07/06/2022,31,48,49,7,2,6
08/06/2022,78,43,47,9,1,8
09/06/2022,79,58,80,7,1,6
10/06/2022,111,49,54,8,0,4
11/06/2022,76,33,71,6,0,4
12/06/2022,64,29,46,7,0,4
13/06/2022,62,31,50,10,0,5
14/06/2022,58,43,74,7,0,7
15/06/2022,82,49,102,10,1,4
16/06/2022,77,69,111,11,2,8
17/06/2022,135,60,115,6,1,9
18/06/2022,125,54,107,6,1,7
19/06/2022,95,60,124,7,0,8
20/06/2022,121,87,130,11,1,10
21/06/2022,158,73,48,10,0,9
22/06/2022,141,21,64,8,0,6
23/06/2022,52,15,66,12,0,2
24/06/2022,25,54,161,17,1,3
25/06/2022,69,54,88,7,1,6
26/06/2022,80,37,62,6,0,5
27/06/2022,68,20,37,5,1,3
28/06/2022,39,13,40,3,1,3
29/06/2022,26,25,67,5,1,4
30/06/2022,41,26,64,3,0,6
03/01/2022,77,54,7,28,3,9
04/01/2022,105,62,8,27,1,9
05/01/2022,146,57,16,25,1,9
06/01/2022,135,74,4,34,1,13
07/01/2022,170,57,20,25,1,9
08/01/2022,114,57,9,20,1,8
09/01/2022,114,29,24,11,0,4
10/01/2022,59,27,14,12,0,2
11/01/2022,42,39,20,15,0,4
12/01/2022,59,18,19,9,0,2
13/01/2022,33,70,8,27,1,8
14/01/2022,135,50,24,17,0,6
15/01/2022,88,20,17,11,0,2
16/01/2022,33,33,20,17,1,3
17/01/2022,51,65,5,31,3,9
18/01/2022,138,63,13,19,3,10
19/01/2022,136,40,15,12,1,4
20/01/2022,108,59,14,15,1,7
21/01/2022,141,0,10,21,2,15
22/01/2022,174,0,6,23,1,14
23/01/2022,186,60,11,20,0,16
24/01/2022,199,8,23,11,0,7
25/01/2022,113,13,22,8,1,3
26/01/2022,45,17,24,7,1,2
27/01/2022,43,21,23,7,0,2
28/01/2022,43,26,24,10,0,3
29/01/2022,51,92,23,19,1,10
30/01/2022,163,16,26,3,0,2
31/01/2022,35,9,28,4,0,1
01/02/2022,26,18,27,7,1,2
02/02/2022,35,11,30,4,1,2
03/02/2022,25,11,29,2,0,1
04/02/2022,18,11,29,3,0,1
05/02/2022,19,13,30,4,0,1
06/02/2022,24,16,27,5,0,2
07/02/2022,32,26,26,12,0,2
08/02/2022,50,58,22,23,1,6
09/02/2022,115,64,33,21,1,7
10/02/2022,140,63,31,16,0,6
11/02/2022,130,51,22,7,1,4
12/02/2022,92,59,19,9,1,6
13/02/2022,133,17,29,4,0,2
14/02/2022,51,18,26,6,0,2
15/02/2022,45,20,28,6,1,2
16/02/2022,45,37,30,13,1,4
17/02/2022,78,39,30,10,0,3
18/02/2022,95,14,29,3,0,1
19/02/2022,31,19,28,7,0,1
20/02/2022,32,18,28,5,0,1
21/02/2022,30,17,30,5,1,1
22/02/2022,34,25,23,13,0,3
23/02/2022,52,41,25,17,1,4
24/02/2022,72,87,29,25,2,8
25/02/2022,146,18,33,7,0,2
26/02/2022,41,49,25,22,1,4
27/02/2022,72,85,29,24,3,8
28/02/2022,134,16,28,5,0,1
01/03/2022,21,45,32,15,2,3
02/03/2022,54,59,30,13,3,5
03/03/2022,74,77,32,13,2,4
04/03/2022,84,30,32,5,0,1
05/03/2022,22,49,32,20,2,3
06/03/2022,71,47,32,16,1,4
07/03/2022,65,78,35,24,2,7
08/03/2022,137,115,45,31,3,10
09/03/2022,173,154,63,25,3,11
10/03/2022,201,104,31,17,2,8
11/03/2022,153,57,37,13,1,5
12/03/2022,114,65,32,14,0,6
13/03/2022,143,43,39,7,0,3
14/03/2022,83,64,28,11,0,5
15/03/2022,119,82,28,15,1,5
16/03/2022,122,38,21,8,1,2
17/03/2022,65,52,13,12,1,5
18/03/2022,128,24,35,8,1,3
19/03/2022,73,47,35,14,0,3
20/03/2022,92,9,34,5,0,1
21/03/2022,21,26,28,9,0,2
22/03/2022,48,65,20,21,0,4
23/03/2022,136,88,8,24,0,7
24/03/2022,167,95,24,13,0,4
25/03/2022,128,65,34,9,0,1
26/03/2022,53,23,37,4,0,1
